Hotel_Name,Positive_Review
Hotel Arena, Although the hotel is a little from the main centre the hotel itself was outstanding The hotel is currently under construction and expanding its capacity and restaurant bar space I was shocked when we arrived to see a construction site but you couldn t hear any building work from the room and the hotel was impeccable inside Fantastic value for money but I assume once the construction has been completed the hotel will be one of the top places to stay in Amsterdam The bar and restaurant is an added bonus to the hotel and the staff were pleasant and polite The hotel is spectacular and the rooms are modern and very comfortable the previous reviews regarding the bathroom walls are true but we didn t find that an issue I would certainly recommend this hotel to anyone especially for the location as many trams lead to the centre of Amsterdam in only 7 10 minutes 
Hotel Arena, Great bed bathroom beer garden decor staff and food 
Hotel Arena, This is a fantastic place to stay and felt like true luxury despite the amazingly cheap price that we paid for our stay There is work going on at the moment but we were given free drinks which were delicious and would both love to return to see the hotel when all the work is finished as it is such a fantastic place to stay that is steeped with history Also the shower was incredible 
Hotel Arena, We loved our stay at hotel arena The hotel was great Staff was really kind especially for Job the guy encharged of the restaurant and Sander the guy who recieved us in the front desk Talking to them it came up in the conversation that my boyfriend and I got engaged the day before arriving to the hotel That night when we got to our room there was a great bottle of champagne and a beautiful congratulations card waiting for us un our room It was a very classy detail We were so thankful about it Also beds and pillows were great the breakfast boufett awesome and i woukd also recommend to have at least one dinner at the hotels restaurant Food is great Thank u for everything hotel arenaaa 
Hotel Arena, Everything The friendly staff super comfortable bed we did not want to get out of bed in the morning it was so comfortable the artsy decor of the hotel chic bar It was truly pleasant to stay in Hotel Arena
Hotel Arena, Amazing rooms with beautiful view of river Food was delicious particularly the veal croqettes and the salmon Staff are helpful and friendly 
Hotel Arena, staff good location suited us
Hotel Arena, Great historic buildig
Hotel Arena, The hotel was great The rooms were gorgeous and the staff really friendly Our room was beautifully decorated very modern sleek design with a mezzanine and spotlessly clean Drinks in the bar were good and not overly expensive The hotel was perfectly located in a lovely part of town within easy reach of town using ansterdams great public transport or the hotels rental bikes 
Hotel Arena, How different it was from other hotels the staff the bar area and the location was good for tram access
Hotel Arena, This is an older building with a wonderful refurbishment Our bedroom and bathroom were state of the art and perfect The dining experience was also excellent We had a problem with one meal but it was fixed immediately Will go back 
Hotel Arena, Was convenient because our friends live close by Furhthermore I liked the possibility of renting a bike on short notice And the interior was spectacular liked the modern twist 
Hotel Arena, The terrace lounge The building The location 
Hotel Arena, The staff were very friendly and very helpful 
Hotel Arena, Very comfortable big bed Free wi fi Lovely building and interior
Hotel Arena, A great place that is stylishly decorated The beds are really comfortable and the shower is fantastic The room we had also featured a lovely little loft with two chairs a desk and a TV the extra space made the place a lot nicer than your standard hotel room 
Hotel Arena, I loved the room There was so much space spanning two floors The staff were super friendly and gave us great advice on locations to visit during our stay in Amsterdam 
Hotel Arena, Friendly staff nice rooms comfy bed though pillows aren t as comfy as they look There are two trams that leave from close to the hotel and one goes directly to Central and both go to the main tourist hub Oosterpark right on your door step
Hotel Arena, location outside terras
Hotel Arena, Great restaurant bar very green area you dine literally in the park great place for morning run
Hotel Arena, Nice property and building 
Hotel Arena,No Positive
Hotel Arena, Outside areas staff deco and art
Hotel Arena, Bed was very comfy Close to tram stops
Hotel Arena, Breakfast was very good but it wasn t included in the price of the room Right by the Ostpark which is very pleasant
Hotel Arena, Super stylish hotel next to a lovely park Close enough to the city centre but far enough if you get me 
Hotel Arena, Breakfast is amazing Very kind staff
Hotel Arena, Decor service fresh herb garden 
Hotel Arena, Bed was really comfy easy to access tourism areas using public transport but quiet area 
Hotel Arena, Standard room is amazing location is adorable Everything was stunning from A to Z from indoors design to really good noise isolation 
Hotel Arena, Impressive venue
Hotel Arena, Beautiful hotel Nice room and excelelnt facilities for breakbast and dining 
Hotel Arena, Beautiful location next to park
Hotel Arena, Excellent Breakfasts
Hotel Arena, Outside of the hotel was beutiful and the surrounding areas
Hotel Arena, Staff were very friendly Hotel decoration impressive 
Hotel Arena, Good service Great restaurant Great surroundings 
Hotel Arena, Room was spacious enough Bed was very comfortable Park was amazing
Hotel Arena, The bed was very comfortable and the room was very clean
Hotel Arena, Room was awesome
Hotel Arena, nothing
Hotel Arena, Bed was really comfortable 
Hotel Arena, everything 
Hotel Arena, Amazing view to the park not so busy area Nice rooms
Hotel Arena, fantastic building and interior design Added bonus of park setting 
Hotel Arena, Location was superb overlooking oosterpark nice and quiet away from the city centre tram stops very close by and metro not far away 
Hotel Arena, location rooms staff
Hotel Arena, Room was as shown on the pictures cozy posh and really stylish Staff was trully polite and helpful 
Hotel Arena, Excellent room and interesting hotel Great location out of the centre but easy to get to on tram 
Hotel Arena, Stunning rooms and dining area In a lovely location just off a park 
Hotel Arena, The staff were really helpful and the hotel was in a great location 
Hotel Arena, The only thing I love was that the bed was comfy and the building on the outside everything else I hated
Hotel Arena, Comfy bed tasty hot chocolates
Hotel Arena, Beautiful hotel with views of the park Transport links are very close and excellent
Hotel Arena,No Positive
Hotel Arena, Me and my boyfriend got engaged at the hotel and the staff were absolutely fantastic 
Hotel Arena, They gave us an upgrade of the room Beautifull sort of attic room complete white very very nice 
Hotel Arena, Loved the lay out and design of the hotel 
Hotel Arena, Great location lovely helpful staff very pretty and modern hotel 
Hotel Arena, Bed extra comfy
Hotel Arena, Large clean rooms with a nice size comfy bed All round just very clean 
Hotel Arena, Everything Classy 
Hotel Arena, Everything
Hotel Arena, comfort and cleanliness
Hotel Arena, The bedrooms were amazing and the beds were so comfy
Hotel Arena, Great hotel with beautiful interior
Hotel Arena, Well equipped nice room Traditinal but modern building 
Hotel Arena, Very clean and tidy hotel Very Comfortable bed everything was great
Hotel Arena, Comfortable big bed room swaped without issues 
Hotel Arena, Breakfast
Hotel Arena, Unique room design beautiful place 
Hotel Arena, The bed was incredible 
Hotel Arena, nice location super helpful front desk staff 
Hotel Arena, Nothing in particular stood out
Hotel Arena, The room was so clean and tidy the bed was amazingly comfey and so big
Hotel Arena, The front desk where very kind and helpful 
Hotel Arena, Huge bath with big bathtub
Hotel Arena, great service good location for city centre good food very unusual minimalist room decor
Hotel Arena, Easy access to trams direct into town 
Hotel Arena, Excellent quality hotel Friendly staff great location lovely facilities Overall great hotel Would definately stay here again 
Hotel Arena, Nothing else
Hotel Arena,No Positive
Hotel Arena, Staff extremely helpful and knowledgeable
Hotel Arena, Place is very nice
Hotel Arena, The Arena was a wonderful experience The room was comfortable and beautiful I have been telling everyone about my stay 
Hotel Arena, Nice variety of foods Good coffee
Hotel Arena, Friendly and helpful staff
Hotel Arena, Patio area outside was lovely Our room got upgraded 
Hotel Arena, We loved this hotel And our beautiful hotel room 
Hotel Arena, It s was a beautiful place amazing architecture and a room upgrade 
Hotel Arena, The spacious room
Hotel Arena, Very comfortable bed Building full of character 
Hotel Arena, We stayed in a studio room The room was spacious It was clean the bed was very comfortable The staff were helpful polite and professional 
Hotel Arena, breakfast
Hotel Arena, Very nice and comfirtable hotel i personally like it Thank you front desk staff Cheers
Hotel Arena, The staff were lovely and the bed was huge Very accommodating and not so far from the city centre
Hotel Arena,No Positive
Hotel Arena, Nice room located on two floors for a fair price
Hotel Arena, Food was ok
Hotel Arena, location size of the room large bathroom breakfast was ok
Hotel Arena,No Positive
Hotel Arena, The duplex room design 
Hotel Arena, Bed was very comfy Clean room nice hotel
Hotel Arena, staff EXCELLENTbed VERY comfortable
Hotel Arena, Not much
Hotel Arena, We liked the split level room
Hotel Arena, Location and feel of the hotel
Hotel Arena,No Positive
Hotel Arena, The bed was good Public transport close tonthe hotel 
Hotel Arena, Comfortable bed Good television channels Nice bar and restaurant Polite staff
Hotel Arena, relaxed athmosphere
Hotel Arena, Management impersonal and unhelpful when we asked for help
Hotel Arena, IT was my birthday they made it special by upgrading us to a m ch nicer duplex room
Hotel Arena, Staff very nice and helpful Excellent food Very clean American breakfast buffet
Hotel Arena, Bed was comfy shower was good 
Hotel Arena, Personnel was be very good 
Hotel Arena, The architecture the bar area the staff are kind and helpful 
Hotel Arena, Bed was so comfortable Staff we very helpful Had a nice stay at this hotel
Hotel Arena, Location very good Staff very helpful Breakfast Excellant
Hotel Arena, beautiful interior
Hotel Arena, Nice room design
Hotel Arena, Everything was brilliant
Hotel Arena, Excellent staff and clean comfortable room Would stay again 
Hotel Arena, Really nice hotel and room and staff
Hotel Arena,No Positive
Hotel Arena, Building was so nice rooms were big
Hotel Arena, Nice rooms and modern place
Hotel Arena, Everything was perfect From the staff to the hotel it was all brilliant Can t wait to stay again 
Hotel Arena, Fantastic staff that could not have been more helpful friendly and professional
Hotel Arena, The hotel building is amazing They are renovating and perhaps some of the problems will be overcome when the works finish 
Hotel Arena, Great service stunning hotel despite being under construction Lovely restaurant and a quiet surrounding 
Hotel Arena,No Positive
Hotel Arena, Good staff very helpful Free WIFI Nice hotel
Hotel Arena, All very good Staff were very helpful 
Hotel Arena, The facilities were amazing Great food and the staff were so friendly
Hotel Arena, location and staff
Hotel Arena,No Positive
Hotel Arena, Plain 4 stars Hotel nothing special nothing bad 
Hotel Arena, Beautiful structure good price 
Hotel Arena, Lovely rooms food helpful reception staff Pleasant stroll into town centre
Hotel Arena, The room the building the little details in and around the hotel were very nice Staff was friendly 
Hotel Arena, Location helpful staff 
Hotel Arena, Modern feel studio type touch very comfortable room
Hotel Arena, Room placement and spaces 
Hotel Arena, Extremely nice rooms friendly staff close to the tram links
Hotel Arena, nice room with bedside on a loft and the nice gesture for a free drink due to renovation of the premises 
Hotel Arena, Staff were very helpful They even organised a little surprise on my birthday Room was great very spacious with huge bed 
Hotel Arena, beautiful building good location comfortable bed great out door area
Hotel Arena, The overall hotel was fine would love to return when the building work is complete
Hotel Arena, Would have liked double beds
Hotel Arena, the breakfast area is nice
Hotel Arena, Friendly and helpful staff
Hotel Arena, The staff was very friendly and helpful Loved the old charm of the architecture Rooms were clean Bar had a great courtyard
Hotel Arena,No Positive
Hotel Arena, Very nice hotel clean and stylish and very helpful staff 
Hotel Arena, Very nice bar and restaurant Staff is nice and helpful 
Hotel Arena, Great atmosphere old building with modern design 
Hotel Arena, Great facilities
Hotel Arena, Staff at check in and check out were really nice 
Hotel Arena, Very close to Museum and Concert hall area 
Hotel Arena, Excellent location when arriving in car
Hotel Arena, Great and beautiful hotel with wonderful staff 
Hotel Arena,No Positive
Hotel Arena,No Positive
Hotel Arena, lovely hotel with well kept stylish rooms
Hotel Arena, Lots of charm Nice rooms and the best bed ever 
Hotel Arena, Staff were incredibly polite and willing to help at all times Hotel is in a very good location and facilities are brilliant
Hotel Arena,No Positive
Hotel Arena, The room was beautiful and staff were extremely helpful 
Hotel Arena, We loved our room especially the huge comfy bed 
Hotel Arena, The room was so luxurious very comfy bed and modern decor Hotel had character 
Hotel Arena, Lovely room taseful decor and artwork around the hotel Friendly and helpful staff 
Hotel Arena, Breakfast service
Hotel Arena, Staff was great good location free printer and computer
Hotel Arena, Lovely location helpful staff The bikes available for rent were of excellent quality 
Hotel Arena, EVERYTHING 
Hotel Arena, Room was bright and airy and staff were most welcoming 
Hotel Arena, The staff were so friendly and very helpful 
Hotel Arena, The hotel is amazing beautiful old building and the rooms are very modern 
